# u[lambda]	v[lamda]	Re(V)[Jy]	Im(V)[Jy]	weight
-3.745749e+04	-7.717564e+04	2.085346e-01	4.927463e-03	1.240168e+05
1.426507e+05	8.748823e+04	1.366695e-01	-6.792743e-03	1.110834e+05
-3.666232e+05	-1.196961e+05	6.423134e-02	-3.288370e-03	1.274758e+05
2.453228e+05	1.999023e+04	9.093015e-02	5.729619e-03	1.323873e+05
7.235786e+04	8.028874e+04	1.899868e-01	8.184888e-04	1.257195e+05
-8.099206e+05	3.824762e+05	1.257517e-02	-8.078691e-03	1.002321e+05
9.271754e+05	-3.874314e+05	1.288585e-02	-4.958779e-03	1.632624e+05
1.154241e+04	7.710643e+05	2.003246e-02	-3.670224e-04	1.002027e+05
-6.148818e+04	2.617333e+05	7.782256e-02	-1.226271e-02	1.078248e+05
1.228986e+06	-9.008302e+04	9.271255e-03	5.775900e-03	1.191368e+05
1.574749e+05	1.536323e+05	1.172916e-01	-1.077540e-02	1.200649e+05
9.347958e+04	6.046850e+04	1.769674e-01	1.351580e-03	1.318652e+05
2.741107e+05	1.740417e+05	7.386112e-02	-4.854761e-03	1.360201e+05
1.018176e+05	-9.516548e+04	1.355609e-01	8.666042e-03	1.166789e+05
2.218515e+05	6.553575e+04	9.975746e-02	-1.718919e-03	1.269017e+05
5.916329e+05	-8.811716e+05	1.618183e-02	9.782481e-03	1.557116e+05
-9.686487e+04	4.910304e+04	1.742941e-01	2.353573e-03	1.145030e+05
-7.998089e+04	1.830969e+05	8.658260e-02	-1.257773e-02	1.010671e+05
-7.518729e+04	-2.182417e+05	8.581893e-02	5.722184e-03	1.205951e+05
7.667337e+05	4.346922e+05	2.251919e-02	9.942310e-03	1.287169e+05
6.541272e+05	-4.925601e+04	-2.616514e-03	-2.086000e-03	1.089940e+05
2.550695e+05	1.088455e+05	8.631406e-02	-1.734747e-03	1.183774e+05
2.296207e+05	9.027250e+04	1.050038e-01	-5.464443e-03	1.214442e+05
4.452148e+05	-1.511399e+05	3.056872e-02	1.177450e-02	1.247343e+05
5.654080e+05	9.550474e+04	2.140525e-02	2.037428e-03	1.221723e+05
2.420338e+05	6.934017e+04	9.290668e-02	1.208725e-02	1.218515e+05
-3.720314e+05	6.162190e+05	1.300312e-02	-3.662766e-03	1.269745e+05
-1.202425e+05	3.864208e+05	4.306774e-02	-3.608684e-03	1.329532e+05
3.141693e+05	3.550893e+05	4.731606e-02	-6.480124e-03	1.388509e+05
2.272053e+05	2.478769e+05	7.668014e-02	-8.812335e-03	1.116456e+05
1.123450e+05	-4.796459e+04	1.546471e-01	5.816504e-04	1.224470e+05
2.924514e+05	1.166982e+05	7.118720e-02	1.599406e-03	1.099310e+05
-2.168199e+05	-9.048421e+04	9.505799e-02	1.290537e-03	1.264940e+05
3.951236e+05	4.919996e+04	7.007495e-02	1.212925e-02	1.312361e+05
2.221592e+05	1.094993e+05	8.805045e-02	-5.633119e-03	1.245059e+05
-6.601129e+05	4.116944e+05	1.391995e-02	-4.860874e-03	9.867911e+04
1.076972e+06	-3.582271e+05	2.110278e-02	-1.693267e-03	1.614531e+05
1.613410e+05	8.002757e+05	1.927730e-02	-9.163678e-03	9.846800e+04
8.831223e+04	2.909439e+05	7.702715e-02	-7.915248e-04	1.068397e+05
1.378786e+06	-6.087523e+04	-6.090516e-03	-1.190289e-03	1.178476e+05
3.072746e+05	1.828419e+05	7.376054e-02	2.322818e-03	1.190593e+05
2.432803e+05	8.967848e+04	8.749879e-02	1.079392e-02	1.305875e+05
4.239093e+05	2.032502e+05	4.755198e-02	-8.870794e-03	1.347066e+05
2.516198e+05	-6.595494e+04	8.318234e-02	1.118562e-02	1.159280e+05
3.716521e+05	9.474555e+04	6.428157e-02	4.429165e-05	1.252156e+05
7.414364e+05	-8.519636e+05	1.354427e-02	-9.081538e-05	1.537963e+05
5.293729e+04	7.831439e+04	1.892584e-01	-5.758384e-03	1.136469e+05
6.981933e+04	2.123071e+05	9.605653e-02	-6.945719e-03	9.970559e+04
7.461556e+04	-1.890310e+05	1.025802e-01	6.129908e-03	1.192034e+05
9.165281e+05	4.638981e+05	5.404588e-03	-2.608218e-03	1.276516e+05
-3.990558e+05	1.581013e+05	3.370279e-02	-1.118517e-02	1.002088e+05
-4.245037e+05	1.395298e+05	2.482604e-02	-2.020101e-03	1.038951e+05
-2.089135e+05	-1.018825e+05	1.033033e-01	-3.068043e-03	1.056494e+05
-8.871085e+04	1.447678e+05	1.126582e-01	-4.569161e-03	1.032826e+05
-4.120910e+05	1.185974e+05	4.889585e-02	-2.296768e-02	1.033820e+05
-5.417853e+05	1.288504e+03	1.119288e-02	4.683095e-04	1.036633e+05
-2.544801e+04	-1.857240e+04	2.393169e-01	-5.387022e-03	1.114691e+05
1.901439e+05	-2.599847e+05	6.666240e-02	4.683431e-03	1.154273e+05
3.103420e+05	-1.333781e+04	6.437655e-02	-2.873752e-03	1.131882e+05
-1.303513e+04	-3.950477e+04	2.337779e-01	5.154947e-04	1.125880e+05
-6.270953e+05	5.073739e+05	6.294249e-03	-1.140721e-02	1.179492e+05
-3.753106e+05	2.775741e+05	1.530664e-02	-1.813350e-03	1.224260e+05
5.910479e+04	2.462461e+05	8.357973e-02	-5.470541e-03	1.279165e+05
-2.786176e+04	1.390323e+05	1.419464e-01	-1.740236e-03	1.026068e+05
-1.427268e+05	-1.568112e+05	1.042600e-01	9.280386e-03	1.133530e+05
3.738263e+04	7.853276e+03	2.515111e-01	7.521480e-03	1.014943e+05
-4.718925e+05	-1.993318e+05	3.714055e-02	-2.676479e-03	1.164236e+05
1.400545e+05	-5.964465e+04	1.410180e-01	4.158241e-03	1.209277e+05
-3.291083e+04	6.534334e+02	2.242730e-01	5.219546e-05	1.148548e+05
-9.151956e+05	3.028364e+05	5.489873e-03	-4.783652e-03	9.166532e+04
8.219115e+05	-4.670632e+05	-2.239820e-03	7.271926e-03	1.491735e+05
-9.372559e+04	6.914285e+05	1.411791e-03	3.925674e-03	9.165395e+04
-1.667561e+05	1.820980e+05	7.991420e-02	-1.090054e-02	9.849743e+04
1.123717e+06	-1.697176e+05	9.274717e-03	5.527161e-03	1.088661e+05
5.220749e+04	7.399772e+04	1.963636e-01	-6.902962e-03	1.096655e+05
-1.178839e+04	-1.916639e+04	2.411857e-01	-3.114480e-03	1.204690e+05
1.688444e+05	9.440765e+04	1.292290e-01	-9.648330e-03	1.242610e+05
-3.451478e+03	-1.748008e+05	1.164554e-01	1.861999e-02	1.065426e+05
1.165833e+05	-1.409916e+04	1.703327e-01	8.885165e-03	1.160001e+05
4.863639e+05	-9.608056e+05	9.436366e-03	-1.223693e-03	1.423099e+05
-2.021340e+05	-3.053263e+04	1.140856e-01	1.843349e-03	1.045726e+05
-1.852483e+05	1.034620e+05	1.018476e-01	-7.576366e-03	9.238598e+04
-1.804563e+05	-2.978770e+05	6.238456e-02	1.756551e-02	1.102047e+05
6.614698e+05	3.550594e+05	-4.436823e-03	-3.866963e-03	1.175620e+05
2.155925e+05	-2.414128e+05	6.509242e-02	1.149384e-02	1.175390e+05
3.357889e+05	5.233567e+03	6.773678e-02	-4.034786e-03	1.148618e+05
1.241295e+04	-2.093240e+04	2.366554e-01	2.746609e-03	1.151132e+05
-6.016482e+05	5.259477e+05	1.395820e-02	-9.574729e-03	1.187786e+05
-3.498628e+05	2.961475e+05	2.573275e-02	-8.936386e-03	1.263464e+05
8.455126e+04	2.648181e+05	8.256995e-02	3.236790e-04	1.318197e+05
-2.414407e+03	1.576047e+05	1.260218e-01	-6.198373e-03	1.064470e+05
-1.172777e+05	-1.382383e+05	1.292495e-01	1.252454e-03	1.153097e+05
6.283044e+04	2.642554e+04	2.115595e-01	-4.050412e-03	1.039966e+05
-4.464426e+05	-1.807581e+05	5.333603e-02	-3.984417e-03	1.203137e+05
1.655024e+05	-4.107266e+04	1.234599e-01	5.315134e-03	1.245777e+05
-7.462683e+03	1.922595e+04	2.482938e-01	-6.998053e-03	1.179661e+05
-8.897450e+05	3.214122e+05	-3.416828e-03	5.899346e-03	9.247718e+04
8.473579e+05	-4.484937e+05	-6.841418e-04	3.409362e-03	1.524149e+05
-6.827993e+04	7.100013e+05	1.630072e-02	-5.279686e-03	9.185261e+04
-1.413085e+05	2.006709e+05	8.934895e-02	-2.908532e-03	1.013241e+05
1.149163e+06	-1.511481e+05	9.951013e-03	-1.831857e-03	1.114334e+05
7.765486e+04	9.256986e+04	1.761790e-01	-8.504418e-03	1.130779e+05
1.365959e+04	-5.940256e+02	2.397718e-01	1.054006e-03	1.237046e+05
1.942911e+05	1.129794e+05	1.012013e-01	7.745240e-03	1.275908e+05
2.199731e+04	-1.562283e+05	1.279854e-01	3.487435e-03	1.105532e+05
1.420310e+05	4.472896e+03	1.540346e-01	-2.731708e-03	1.177580e+05
5.118143e+05	-9.422346e+05	1.200989e-02	1.430439e-02	1.449077e+05
-1.766853e+05	-1.195960e+04	1.239928e-01	-8.755802e-03	1.081537e+05
-1.598005e+05	1.220348e+05	9.974932e-02	2.095927e-03	9.371794e+04
-1.550067e+05	-2.793041e+05	8.144352e-02	1.277762e-02	1.125002e+05
6.869137e+05	3.736296e+05	-6.308011e-03	-2.236013e-03	1.212256e+05
1.201974e+05	2.466483e+05	7.571971e-02	-1.540633e-02	1.192047e+05
-2.031796e+05	2.204804e+05	6.584147e-02	-2.928632e-03	1.186164e+05
-8.172417e+05	7.673606e+05	1.301522e-02	-3.187444e-03	1.241690e+05
-5.654550e+05	5.375590e+05	9.826148e-03	-2.425528e-03	1.290384e+05
-1.310402e+05	5.062324e+05	-1.969612e-03	6.335501e-03	1.348125e+05
-2.180063e+05	3.990178e+05	2.952941e-02	-6.378558e-03	1.081750e+05
-3.328708e+05	1.031732e+05	5.991369e-02	-1.241913e-02	1.193956e+05
-1.527615e+05	2.678383e+05	6.009669e-02	-1.351606e-02	1.069398e+05
-6.620374e+05	6.065261e+04	-4.083085e-04	3.622911e-03	1.227203e+05
-5.008942e+04	2.003403e+05	9.347516e-02	-2.408662e-03	1.274495e+05
-2.230546e+05	2.606380e+05	5.719128e-02	-2.553975e-03	1.210323e+05
-1.105334e+06	5.628144e+05	-5.795054e-03	5.840749e-03	9.652901e+04
6.317637e+05	-2.070736e+05	-1.799457e-03	-1.569130e-03	1.571399e+05
-2.838676e+05	9.514122e+05	8.496187e-03	-9.554808e-03	9.647424e+04
-3.569003e+05	4.420829e+05	1.763260e-03	3.684990e-03	1.038013e+05
9.335765e+05	9.026630e+04	5.188230e-03	2.000688e-03	1.147091e+05
-1.379371e+05	3.339833e+05	6.430236e-02	-9.327043e-03	1.155827e+05
-2.019328e+05	2.408188e+05	6.683508e-02	-1.103781e-02	1.269451e+05
-2.130077e+04	3.543941e+05	6.355925e-02	-1.297024e-02	1.309369e+05
-1.935954e+05	8.518369e+04	9.840583e-02	-1.572519e-02	1.123285e+05
-7.356063e+04	2.458858e+05	7.621237e-02	-1.107022e-02	1.221712e+05
2.962183e+05	-7.008195e+05	1.630318e-02	5.192883e-03	1.498972e+05
-3.922778e+05	2.294515e+05	2.359299e-02	8.120749e-03	1.102341e+05
-3.753932e+05	3.634475e+05	-3.627659e-04	9.338173e-03	9.729528e+04
-3.706011e+05	-3.789209e+04	6.383057e-02	-2.296468e-03	1.160972e+05
4.713246e+05	6.150474e+05	6.407961e-03	-7.844466e-03	1.239004e+05
-3.233760e+05	-2.616613e+04	7.464556e-02	-1.076629e-02	1.162330e+05
-9.374337e+05	5.207192e+05	1.775999e-02	-7.385078e-03	1.219813e+05
-6.856518e+05	2.909149e+05	3.631224e-03	8.326562e-04	1.262683e+05
-2.512370e+05	2.595860e+05	6.105585e-02	-8.969156e-03	1.319630e+05
-3.382033e+05	1.523716e+05	5.741945e-02	-1.178411e-03	1.057713e+05
-4.530672e+05	-1.434730e+05	5.538653e-02	5.923132e-03	1.170753e+05
-2.729592e+05	2.119132e+04	7.558156e-02	-6.677251e-03	1.047537e+05
-7.822304e+05	-1.859911e+05	1.095226e-02	-4.836297e-03	1.200565e+05
-1.702875e+05	-4.630739e+04	1.358705e-01	1.682857e-03	1.247396e+05
-3.432529e+05	1.399115e+04	6.996270e-02	-4.904815e-04	1.185083e+05
-1.225544e+06	3.161705e+05	1.181951e-02	-3.244764e-03	9.471081e+04
5.115747e+05	-4.537230e+05	8.038861e-03	8.640864e-04	1.540641e+05
-4.040738e+05	7.047653e+05	-5.285409e-03	-2.454229e-03	9.480148e+04
-4.770981e+05	1.954373e+05	2.232530e-03	-8.224676e-03	1.016187e+05
8.133669e+05	-1.563894e+05	1.565987e-02	6.416179e-03	1.123495e+05
-2.581340e+05	8.733658e+04	8.361580e-02	-2.046406e-03	1.131203e+05
-3.221294e+05	-5.827681e+03	7.198749e-02	-4.854051e-03	1.243138e+05
-1.414968e+05	1.077471e+05	1.116093e-01	1.467615e-03	1.282394e+05
-3.137925e+05	-1.614633e+05	6.873817e-02	8.864264e-03	1.098139e+05
-1.937589e+05	-7.617390e+02	1.110331e-01	-1.257526e-02	1.198395e+05
1.760279e+05	-9.474690e+05	-1.983682e-03	1.785914e-03	1.469799e+05
-5.124754e+05	-1.719430e+04	2.277543e-02	-7.944578e-03	1.078191e+05
-4.955887e+05	1.168024e+05	1.535429e-02	-9.072361e-03	9.545931e+04
-4.907946e+05	-2.845376e+05	2.235617e-02	3.758189e-03	1.137887e+05
3.511254e+05	3.683980e+05	3.760823e-02	-1.119974e-04	1.212845e+05
-6.140613e+05	5.468800e+05	1.892541e-02	2.795081e-03	1.209246e+05
-3.622758e+05	3.170798e+05	7.907022e-03	1.000866e-03	1.261833e+05
7.213842e+04	2.857506e+05	7.402970e-02	-1.515418e-02	1.318028e+05
-1.482729e+04	1.785371e+05	1.173950e-01	2.619724e-03	1.058784e+05
-1.296907e+05	-1.173060e+05	1.333116e-01	4.450243e-03	1.164599e+05
5.041756e+04	4.735794e+04	2.094539e-01	-6.987620e-03	1.044422e+05
-4.588558e+05	-1.598259e+05	4.721639e-02	2.710273e-03	1.200308e+05
1.530895e+05	-2.014023e+04	1.341029e-01	7.012649e-03	1.245870e+05
-1.987556e+04	4.015830e+04	2.213535e-01	-8.052637e-03	1.182505e+05
-9.021576e+05	3.423438e+05	8.509510e-03	7.615360e-03	9.399950e+04
8.349447e+05	-4.275607e+05	8.780397e-03	3.095033e-03	1.534234e+05
-8.069237e+04	7.309336e+05	1.758289e-02	-4.362847e-03	9.385931e+04
-1.537214e+05	2.216032e+05	7.933066e-02	-7.443220e-03	1.014453e+05
1.136751e+06	-1.302154e+05	6.293524e-03	-1.659436e-03	1.119971e+05
6.524197e+04	1.135023e+05	1.620468e-01	-7.314961e-03	1.130097e+05
1.246651e+03	2.033837e+04	2.445046e-01	-4.789387e-04	1.240284e+05
1.818782e+05	1.339119e+05	1.044178e-01	1.554332e-03	1.279329e+05
9.584345e+03	-1.352960e+05	1.442795e-01	8.082454e-03	1.099407e+05
1.296182e+05	2.540532e+04	1.606838e-01	-1.140157e-03	1.191271e+05
4.994009e+05	-9.213020e+05	2.778875e-04	1.167093e-03	1.462410e+05
-1.890983e+05	8.972664e+03	1.137143e-01	-1.165668e-02	1.078287e+05
-1.722135e+05	1.429671e+05	9.673688e-02	-1.435859e-02	9.486416e+04
-1.674198e+05	-2.583718e+05	8.476797e-02	5.776514e-03	1.133133e+05
6.745011e+05	3.945624e+05	3.969028e-03	6.300986e-03	1.211530e+05
4.843733e+05	-6.641823e+05	2.784975e-03	2.343270e-03	1.219893e+05
2.325849e+05	-4.343844e+05	8.419639e-03	-7.925833e-03	1.266397e+05
-2.018293e+05	-4.030562e+05	5.288244e-02	2.152043e-03	1.323148e+05
-1.148637e+05	-2.958429e+05	6.760564e-02	6.292067e-03	1.061391e+05
1.801090e+05	1.646643e+05	1.055963e-01	4.661088e-03	1.049843e+05
-3.291671e+05	-4.252147e+04	6.615418e-02	-1.014218e-02	1.204319e+05
2.827811e+05	9.716659e+04	7.889733e-02	8.262578e-03	1.250891e+05
1.098162e+05	1.574647e+05	1.182094e-01	-1.258751e-02	1.188061e+05
-7.724592e+05	4.596503e+05	7.684652e-03	2.603640e-03	9.483695e+04
9.646309e+05	-3.102542e+05	6.514077e-03	-2.931151e-03	1.542803e+05
4.900403e+04	8.482402e+05	1.534137e-02	-5.866947e-03	9.480277e+04
-2.402989e+04	3.389087e+05	6.973225e-02	-9.670992e-03	1.018843e+05
1.266449e+06	-1.290318e+04	2.158270e-03	4.018306e-03	1.126204e+05
1.949329e+05	2.308083e+05	7.039531e-02	-3.904845e-03	1.134385e+05
1.309374e+05	1.376444e+05	1.270283e-01	-5.873385e-03	1.246131e+05
3.115686e+05	2.512178e+05	6.658683e-02	-9.015639e-03	1.285292e+05
1.392754e+05	-1.798944e+04	1.462608e-01	7.884548e-03	1.102131e+05
2.593099e+05	1.427120e+05	8.506302e-02	1.353396e-03	1.199871e+05
6.290881e+05	-8.039944e+05	1.120090e-02	1.371652e-03	1.471925e+05
-5.940693e+04	1.262785e+05	1.341276e-01	-8.814729e-03	1.081733e+05
-4.252343e+04	2.602721e+05	8.076695e-02	-1.106111e-02	9.555929e+04
-3.773090e+04	-1.410663e+05	1.408394e-01	6.663587e-03	1.139932e+05
8.041932e+05	5.118694e+05	2.119998e-02	6.669068e-03	1.215992e+05
1.682592e+05	-7.431276e+04	1.280955e-01	5.838923e-03	8.939931e+04
-9.284799e+05	6.371546e+05	8.981812e-03	-5.876965e-03	1.081590e+05
-6.593617e+05	3.914997e+05	1.625543e-02	-9.348708e-03	1.061938e+05
-1.951245e+05	3.579289e+05	3.985144e-02	3.575874e-03	1.049636e+05
-2.880288e+05	2.433560e+05	5.871882e-02	-7.045236e-03	9.431628e+04
-2.182739e+05	1.031369e+05	1.013924e-01	-7.961402e-03	9.217787e+04
-7.624432e+05	-1.182021e+05	6.395779e-03	-2.140137e-03	9.197186e+04
-1.085368e+05	3.097430e+04	1.937644e-01	-5.196843e-03	1.103351e+05
-2.933886e+05	9.545557e+04	7.401938e-02	-4.733412e-03	1.071555e+05
-1.236294e+06	4.186399e+05	-6.335699e-03	8.115568e-03	8.508052e+04
6.202137e+05	-4.045974e+05	3.284291e-02	1.420130e-02	1.098014e+05
-3.585792e+05	8.337730e+05	-7.503735e-03	7.681324e-03	8.467376e+04
-4.364684e+05	2.894127e+05	2.406324e-03	6.909019e-03	8.511880e+04
9.426271e+05	-8.687963e+04	1.078705e-02	8.963387e-03	1.023908e+05
-2.024488e+05	1.738301e+05	9.635210e-02	-1.643771e-02	9.820408e+04
-2.708113e+05	7.426827e+04	8.322875e-02	-5.703582e-03	1.136204e+05
-7.781534e+04	1.956220e+05	1.060550e-01	-1.778202e-02	1.100918e+05
-2.618574e+05	-9.207620e+04	8.998948e-02	-5.760348e-03	9.612925e+04
-1.336318e+05	7.965872e+04	1.472079e-01	-3.901389e-03	1.016179e+05
2.617802e+05	-9.322584e+05	2.315216e-03	9.629847e-03	8.854916e+04
-4.742170e+05	6.215923e+04	2.722537e-02	-6.253121e-03	8.694830e+04
-4.562095e+05	2.053684e+05	2.043962e-02	-4.022004e-03	8.474072e+04
-4.509746e+05	-2.235850e+05	4.423318e-02	-8.987027e-04	1.003174e+05
4.485442e+05	4.741201e+05	-1.232950e-02	-2.906169e-03	9.520323e+04
-1.096739e+06	7.114703e+05	-2.147640e-03	3.039042e-03	9.853420e+04
-8.276206e+05	4.658146e+05	4.202126e-03	7.771042e-03	9.732406e+04
-3.633847e+05	4.322420e+05	-1.356434e-02	3.266047e-03	9.608109e+04
-4.562879e+05	3.176701e+05	-7.089918e-03	-4.462075e-03	8.683231e+04
-3.865329e+05	1.774501e+05	5.066857e-02	-2.193323e-02	8.406038e+04
-9.306999e+05	-4.388721e+04	1.360218e-02	-4.027236e-03	8.442704e+04
-2.767958e+05	1.052873e+05	7.804723e-02	-6.123739e-03	1.010584e+05
-4.616475e+05	1.697688e+05	7.763884e-03	-8.942938e-03	9.766957e+04
-1.404552e+06	4.929566e+05	1.264114e-02	2.795331e-04	7.676655e+04
4.519544e+05	-3.302862e+05	-1.533655e-02	-6.133062e-03	9.967052e+04
-5.268410e+05	9.080865e+05	1.430426e-02	-7.561105e-03	7.647130e+04
-6.047274e+05	3.637270e+05	2.967168e-02	-7.391110e-03	7.794807e+04
7.743650e+05	-1.257060e+04	5.195496e-03	1.634422e-04	9.358302e+04
-3.707080e+05	2.481435e+05	4.048945e-02	-1.585179e-03	9.012206e+04
-4.390701e+05	1.485818e+05	4.105069e-02	6.622615e-03	1.037917e+05
-2.460751e+05	2.699352e+05	5.716578e-02	-5.164729e-04	1.007629e+05
-4.301154e+05	-1.776256e+04	6.889512e-02	-1.966658e-03	8.815933e+04
-3.018907e+05	1.539723e+05	7.648890e-02	-9.939115e-03	9.211733e+04
9.352383e+04	-8.579475e+05	1.959795e-02	-2.295257e-03	8.026592e+04
-6.424751e+05	1.364735e+05	-9.632426e-03	-6.745070e-03	7.977505e+04
-6.244683e+05	2.796825e+05	1.151672e-02	5.733471e-03	7.687916e+04
-6.192315e+05	-1.492706e+05	-1.204594e-02	8.500441e-03	9.146692e+04
2.802810e+05	5.484303e+05	-1.603923e-02	-8.186029e-04	8.765881e+04
2.691183e+05	-2.456551e+05	5.551156e-02	8.041322e-04	1.171975e+05
7.333549e+05	-2.792243e+05	1.681825e-02	6.407078e-03	1.158595e+05
6.404510e+05	-3.938005e+05	2.767493e-02	6.175103e-03	1.040126e+05
7.102062e+05	-5.340160e+05	-2.400748e-04	-5.006336e-04	1.018141e+05
1.660382e+05	-7.553544e+05	1.154477e-02	8.713903e-03	1.014688e+05
8.199432e+05	-6.061798e+05	1.455403e-02	1.003439e-02	1.217787e+05
6.350916e+05	-5.416965e+05	1.418170e-02	2.177722e-03	1.183656e+05
-3.078135e+05	-2.185139e+05	7.033070e-02	2.233055e-02	9.414214e+04
1.548693e+06	-1.041755e+06	-6.463119e-03	3.179447e-03	1.213792e+05
5.698994e+05	1.966208e+05	1.025936e-02	8.501334e-03	9.367865e+04
4.920115e+05	-3.477425e+05	-8.203772e-04	-3.187673e-03	9.395277e+04
1.871106e+06	-7.240307e+05	-1.115719e-03	7.171438e-03	1.130408e+05
7.260311e+05	-4.633243e+05	2.000742e-02	7.521032e-03	1.083530e+05
6.576688e+05	-5.628857e+05	4.599955e-04	-2.727739e-03	1.254654e+05
8.506642e+05	-4.415331e+05	1.443176e-04	4.625692e-03	1.215294e+05
6.666231e+05	-7.292309e+05	1.818187e-03	3.137218e-03	1.060792e+05
7.948481e+05	-5.574979e+05	-3.609672e-03	8.969835e-03	1.123627e+05
1.190262e+06	-1.569408e+06	1.268802e-02	-2.028090e-03	9.789053e+04
4.542634e+05	-5.749952e+05	1.777293e-02	5.075167e-04	9.593882e+04
4.722706e+05	-4.317855e+05	4.248924e-03	9.195608e-03	9.368161e+04
4.775065e+05	-8.607399e+05	1.322118e-02	5.029916e-03	1.108100e+05
1.377022e+06	-1.630287e+05	-5.944889e-03	-7.079556e-03	1.049633e+05
4.642368e+05	-3.356978e+04	3.910107e-02	3.050326e-03	1.139213e+05
3.713327e+05	-1.481449e+05	6.444060e-02	-1.149650e-03	1.025645e+05
4.410880e+05	-2.883615e+05	-9.427174e-03	-5.595273e-03	9.991596e+04
-1.030802e+05	-5.097000e+05	6.529897e-03	-5.809628e-03	9.991690e+04
5.508251e+05	-3.605250e+05	8.722012e-03	1.375378e-04	1.197749e+05
3.659735e+05	-2.960423e+05	1.846075e-02	-7.455429e-03	1.161310e+05
-5.769319e+05	2.714113e+04	-2.393589e-03	2.221396e-03	9.189755e+04
1.279575e+06	-7.960992e+05	1.510039e-02	-2.673369e-03	1.188360e+05
3.007815e+05	4.422751e+05	3.449903e-02	4.103836e-04	9.148284e+04
2.228933e+05	-1.020873e+05	9.811666e-02	7.146291e-03	9.239592e+04
1.601988e+06	-4.783770e+05	-2.638613e-03	-7.197475e-03	1.110704e+05
4.569129e+05	-2.176694e+05	9.592658e-03	-4.102272e-03	1.066768e+05
3.885506e+05	-3.172309e+05	-9.299797e-04	-1.418601e-03	1.232293e+05
5.815460e+05	-1.958780e+05	-2.473830e-03	4.205155e-03	1.194813e+05
3.975048e+05	-4.835759e+05	-7.739637e-03	-1.446729e-03	1.043985e+05
5.257298e+05	-3.118424e+05	1.377629e-03	1.833330e-03	1.099280e+05
9.211439e+05	-1.323754e+06	-2.692287e-03	-1.013652e-02	9.579103e+04
1.851451e+05	-3.293402e+05	5.287755e-02	-1.506830e-03	9.444293e+04
2.031524e+05	-1.861307e+05	9.099296e-02	5.936911e-03	9.169611e+04
2.083881e+05	-6.150848e+05	1.262773e-03	3.088032e-03	1.087341e+05
1.107905e+06	8.262449e+04	6.285086e-03	9.277587e-03	1.035348e+05
-9.290338e+04	-1.145737e+05	1.657136e-01	4.245318e-03	1.012870e+05
-2.314987e+04	-2.547919e+05	9.262455e-02	1.731755e-02	9.877029e+04
-5.673200e+05	-4.761316e+05	-3.120671e-03	2.482940e-03	9.870655e+04
8.658755e+04	-3.269546e+05	7.525685e-02	4.228613e-03	1.183486e+05
-9.826497e+04	-2.624732e+05	9.050723e-02	9.696464e-03	1.148066e+05
-1.041170e+06	6.070940e+04	-3.867911e-03	-6.437336e-03	9.093452e+04
8.153388e+05	-7.625260e+05	1.524965e-02	9.322182e-03	1.175206e+05
-1.634543e+05	4.758441e+05	-1.940928e-04	7.612448e-03	9.052086e+04
-2.413434e+05	-6.851695e+04	1.082942e-01	7.196146e-04	9.129483e+04
1.137751e+06	-4.448063e+05	3.946734e-03	9.537060e-03	1.097799e+05
-7.324127e+03	-1.840991e+05	1.283927e-01	7.027264e-04	1.053855e+05
-7.568705e+04	-2.836609e+05	9.342770e-02	-1.908990e-03	1.217934e+05
1.173097e+05	-1.623071e+05	1.167983e-01	1.577994e-02	1.180649e+05
-6.673315e+04	-4.500055e+05	3.674632e-02	1.037756e-02	1.031408e+05
6.149350e+04	-2.782708e+05	8.888446e-02	1.333464e-02	1.087244e+05
4.569015e+05	-1.290186e+06	1.028006e-02	1.247463e-03	9.475586e+04
-2.790927e+05	-2.957703e+05	7.188926e-02	1.414718e-02	9.330087e+04
-2.610851e+05	-1.525610e+05	8.530393e-02	1.981633e-03	9.068863e+04
-2.558505e+05	-5.815146e+05	-4.562994e-04	-2.570255e-03	1.074846e+05
6.436679e+05	1.161931e+05	-3.310889e-03	1.281231e-03	1.022600e+05
6.975500e+04	-1.402181e+05	1.469834e-01	-2.630216e-03	8.870723e+04
-4.744123e+05	-3.615558e+05	-4.520757e-04	-2.874949e-03	8.893254e+04
1.794921e+05	-2.123814e+05	7.926430e-02	1.675917e-02	1.065174e+05
-5.359592e+03	-1.478991e+05	1.557710e-01	7.864380e-03	1.030825e+05
-9.482640e+05	1.752867e+05	-2.503932e-03	-5.830163e-03	8.124654e+04
9.082424e+05	-6.479556e+05	1.013243e-02	4.359925e-03	1.053141e+05
-7.055271e+04	5.904184e+05	-1.467363e-02	-2.014483e-03	8.091408e+04
-1.484395e+05	4.605737e+04	1.629809e-01	-8.660954e-03	8.216334e+04
1.230653e+06	-3.302365e+05	-2.196833e-04	-4.808009e-03	9.869334e+04
8.557992e+04	-6.952548e+04	1.963128e-01	8.488744e-03	9.493955e+04
1.721783e+04	-1.690870e+05	1.310569e-01	8.566068e-03	1.094788e+05
2.102129e+05	-4.773402e+04	1.211403e-01	5.901168e-04	1.062280e+05
2.617236e+04	-3.354317e+05	6.711511e-02	1.164253e-02	9.288989e+04
1.543972e+05	-1.636977e+05	9.937979e-02	6.506205e-03	9.737072e+04
5.498115e+05	-1.175613e+06	-1.064414e-03	6.783806e-03	8.483925e+04
-1.861873e+05	-1.811958e+05	1.068510e-01	7.905857e-03	8.404490e+04
