# u[lambda]	v[lamda]	Re(V)[Jy]	Im(V)[Jy]	weight
-4.788596e+05	-2.400125e+05	3.378576e-02	-3.788208e-03	1.059077e+05
-3.149516e+05	-3.347955e+05	4.962992e-02	-1.274112e-03	1.042119e+05
-4.962955e+05	-4.329028e+05	7.527195e-04	-7.911371e-03	1.034678e+05
-6.443687e+05	-4.606839e+05	3.681993e-03	2.553416e-03	1.065671e+05
4.385261e+03	-5.161902e+05	3.149022e-03	-6.189210e-03	9.401801e+04
-3.929845e+05	-3.542707e+05	2.698661e-02	6.171929e-03	9.727898e+04
-4.179500e+05	-3.726015e+05	2.292397e-02	6.439222e-03	1.015053e+05
-2.010704e+05	-6.160783e+05	4.563127e-03	1.265174e-03	9.864735e+04
-8.549671e+04	-3.705716e+05	6.120588e-02	2.610342e-03	9.580919e+04
-4.053838e+05	-3.936523e+05	1.705291e-02	-5.713101e-03	1.002951e+05
-1.020803e+06	1.590993e+05	1.851298e-03	-1.175983e-03	1.108940e+05
-7.686025e+05	-7.310859e+04	4.242697e-03	5.715088e-03	1.132761e+05
-3.377162e+05	-1.085845e+05	6.258142e-02	-5.494506e-03	1.121404e+05
-4.223216e+05	-2.149696e+05	4.468600e-02	-7.523131e-03	9.444751e+04
-5.323507e+05	-5.097207e+05	1.902395e-04	7.418134e-03	1.055015e+05
-3.560546e+05	-3.467739e+05	4.659422e-02	1.311274e-02	9.411105e+04
-8.581320e+05	-5.490978e+05	1.042076e-02	3.085204e-03	1.089646e+05
-2.533751e+05	-4.152540e+05	3.674160e-02	-3.528014e-03	1.107632e+05
-4.255909e+05	-3.533028e+05	2.384811e-02	-9.667080e-04	1.061952e+05
-1.304200e+06	-4.265315e+04	1.102306e-02	1.249604e-03	9.108141e+04
4.270599e+05	-8.291756e+05	6.440272e-03	1.036803e-03	1.043138e+05
-4.953566e+05	3.380695e+05	-2.095947e-03	1.319601e-02	9.142712e+04
-5.606138e+05	-1.705762e+05	1.245345e-02	1.206143e-02	8.752796e+04
7.217373e+05	-5.347360e+05	8.668906e-03	-7.354578e-04	1.243508e+05
-3.422076e+05	-2.807710e+05	5.694326e-02	-3.559991e-03	9.965782e+04
-4.044115e+05	-3.733256e+05	2.636506e-02	-9.936886e-03	1.097710e+05
-2.270516e+05	-2.614727e+05	7.259240e-02	1.107716e-02	1.113304e+05
-3.940480e+05	-5.290421e+05	-3.842242e-03	7.546625e-04	1.017052e+05
-2.772654e+05	-3.694840e+05	5.261945e-02	9.077008e-03	1.002874e+05
1.018708e+05	-1.319741e+06	-2.321728e-03	1.480935e-04	9.659618e+04
-5.929943e+05	-3.828732e+05	-2.938237e-04	3.799483e-03	9.603908e+04
-5.779761e+05	-2.490385e+05	-6.821173e-03	-7.887604e-03	8.420473e+04
-5.678086e+05	-6.504305e+05	1.555637e-02	6.395922e-03	1.025107e+05
2.566582e+05	-5.510307e+03	8.476456e-02	-6.514974e-03	9.224792e+04
-9.247635e+05	-3.297944e+05	1.693390e-02	1.876046e-03	8.133321e+04
-3.484410e+05	1.678888e+05	6.319079e-02	-6.743629e-03	1.031314e+05
-3.425854e+05	1.305514e+05	6.617435e-02	-8.327885e-03	1.031240e+05
4.649655e+05	-5.786260e+05	1.244363e-02	-3.542655e-03	1.273194e+05
-7.134877e+05	1.424727e+05	1.178019e-02	2.656809e-03	1.144472e+05
-4.308280e+05	-4.606173e+05	-1.199263e-02	-1.008067e-02	1.119461e+05
-1.690530e+05	2.273507e+04	1.237310e-01	4.321780e-03	1.106700e+05
5.216185e+05	2.365646e+05	2.687274e-02	2.625521e-03	8.566891e+04
-3.264291e+05	2.051751e+05	6.083187e-02	-1.082910e-03	1.086593e+05
-1.625197e+05	1.103918e+05	1.008705e-01	-9.522245e-03	1.071654e+05
-3.438625e+05	1.228524e+04	7.258096e-02	-7.595463e-03	1.064678e+05
-4.919350e+05	-1.549532e+04	3.523207e-02	-3.416427e-03	1.093717e+05
1.568145e+05	-7.100445e+04	1.167528e-01	1.611735e-03	9.613588e+04
-2.405540e+05	9.091664e+04	8.522262e-02	-1.243838e-02	1.001451e+05
-2.655171e+05	7.258628e+04	8.021509e-02	-8.754392e-03	1.036327e+05
-4.863689e+04	-1.708912e+05	1.118821e-01	5.134244e-03	1.015062e+05
6.693320e+04	7.461470e+04	1.832004e-01	-5.722199e-03	9.871440e+04
-2.529518e+05	5.153525e+04	7.454831e-02	1.716835e-03	1.030600e+05
-8.683761e+05	6.042883e+05	9.654132e-03	-7.580300e-03	1.145832e+05
-6.161695e+05	3.720806e+05	1.647205e-02	4.783064e-03	1.160092e+05
-1.852852e+05	3.366030e+05	4.943472e-02	-1.673470e-03	1.149093e+05
-2.698920e+05	2.302178e+05	5.357604e-02	-1.419256e-02	9.655638e+04
-3.799196e+05	-6.453301e+04	6.536971e-02	-1.664798e-03	1.086099e+05
-2.036251e+05	9.841309e+04	9.627039e-02	-8.050989e-03	9.663658e+04
-7.056991e+05	-1.039088e+05	-6.428490e-03	5.883945e-04	1.115497e+05
-1.009468e+05	2.993241e+04	1.808711e-01	-2.323766e-03	1.135225e+05
-2.731603e+05	9.188464e+04	6.904038e-02	-1.919725e-03	1.089492e+05
-1.151770e+06	4.025370e+05	-8.223089e-04	1.615047e-03	9.404138e+04
5.794918e+05	-3.839909e+05	1.451540e-02	2.286656e-03	1.072147e+05
-3.429306e+05	7.832569e+05	6.166938e-03	-7.013946e-03	9.461978e+04
-4.081835e+05	2.746118e+05	1.036621e-02	2.076426e-03	8.974788e+04
8.741660e+05	-8.955250e+04	1.316258e-02	-5.023425e-03	1.277213e+05
-1.897756e+05	1.644166e+05	7.996040e-02	-1.159075e-02	1.020962e+05
-2.519793e+05	7.186203e+04	7.681873e-02	9.224919e-03	1.126237e+05
-7.462146e+04	1.837141e+05	1.061818e-01	-1.421093e-02	1.142290e+05
-2.416167e+05	-8.385480e+04	9.363912e-02	4.610008e-03	1.039655e+05
-1.248348e+05	7.570293e+04	1.364559e-01	-1.207465e-02	1.033147e+05
2.543073e+05	-8.745546e+05	7.788194e-03	1.825067e-03	9.939534e+04
-4.405614e+05	6.231516e+04	4.701495e-02	-4.617968e-03	9.828157e+04
-4.255441e+05	1.961497e+05	1.639071e-02	-1.201775e-02	8.676721e+04
-4.153753e+05	-2.052424e+05	6.263734e-02	3.540050e-03	1.053965e+05
4.090884e+05	4.396754e+05	-2.028892e-03	-3.403178e-04	9.449811e+04
5.763244e+05	4.976838e+05	-3.273133e-03	5.812604e-03	8.775334e+04
5.821817e+05	4.603478e+05	1.183575e-02	-3.824267e-03	8.848842e+04
1.389727e+06	-2.488314e+05	-3.256100e-04	-1.126652e-03	1.089807e+05
2.112751e+05	4.722657e+05	1.371177e-02	2.959182e-03	9.793849e+04
4.939290e+05	-1.308266e+05	3.065297e-03	6.302052e-03	9.615785e+04
7.557113e+05	3.525299e+05	2.374251e-02	2.022776e-03	9.483741e+04
1.446395e+06	5.663673e+05	-4.736418e-03	3.680567e-03	7.332757e+04
5.983350e+05	5.349692e+05	2.089603e-02	-1.086436e-02	9.306646e+04
7.622470e+05	4.401880e+05	1.173745e-02	9.876580e-05	9.157561e+04
5.809035e+05	3.420810e+05	3.071784e-03	1.070801e-02	9.092171e+04
4.328304e+05	3.143001e+05	3.221619e-02	3.354613e-03	9.364469e+04
1.081577e+06	2.587898e+05	5.086651e-04	3.716930e-03	8.261801e+04
6.842095e+05	4.207107e+05	9.574553e-03	4.893230e-03	8.548531e+04
6.592499e+05	4.023828e+05	1.804303e-02	-5.520470e-04	8.919436e+04
8.761301e+05	1.589059e+05	2.443066e-02	-4.351663e-03	8.668537e+04
9.916983e+05	4.044100e+05	-4.415148e-04	3.930994e-03	8.419354e+04
6.718136e+05	3.813306e+05	2.130114e-03	1.100265e-02	8.813394e+04
5.638235e+04	9.340772e+05	1.229509e-02	5.749927e-04	9.745427e+04
3.085983e+05	7.018766e+05	8.749381e-03	2.610487e-03	9.953825e+04
7.394825e+05	6.663994e+05	1.518765e-02	-4.731513e-03	9.854116e+04
6.548714e+05	5.600114e+05	1.786372e-02	2.322612e-03	8.299495e+04
5.448420e+05	2.652599e+05	-1.857557e-03	2.516578e-03	9.271165e+04
7.211370e+05	4.282062e+05	1.366880e-02	-3.083123e-04	8.270137e+04
2.190623e+05	2.258838e+05	7.249169e-02	2.410270e-03	9.575228e+04
8.238135e+05	3.597245e+05	1.306553e-02	8.692384e-03	9.733518e+04
6.516031e+05	4.216786e+05	9.630236e-03	-3.251815e-03	9.331932e+04
-2.270106e+05	7.323266e+05	2.660606e-02	-6.980687e-03	8.004173e+04
1.504259e+06	-5.419250e+04	4.283142e-03	2.895872e-03	9.166453e+04
5.818330e+05	1.113049e+06	1.151854e-02	-1.225725e-02	8.034531e+04
5.165805e+05	6.044056e+05	1.733494e-02	1.016780e-02	7.691504e+04
1.798934e+06	2.402460e+05	-1.256611e-03	-1.590130e-03	1.092724e+05
7.349917e+05	4.942130e+05	1.893476e-02	-4.067868e-03	8.757230e+04
6.727866e+05	4.016577e+05	-6.653224e-04	-5.270525e-03	9.646000e+04
8.501441e+05	5.135094e+05	1.575288e-02	-8.459185e-03	9.783112e+04
6.831461e+05	2.459391e+05	2.967613e-03	6.498187e-03	8.937241e+04
7.999296e+05	4.054977e+05	3.325245e-02	-6.881888e-03	8.812898e+04
1.179073e+06	-5.447563e+05	3.881511e-03	1.823454e-03	8.488273e+04
4.842043e+05	3.921106e+05	9.979502e-03	-9.426415e-03	8.439206e+04
4.992217e+05	5.259449e+05	-3.592622e-03	9.300696e-03	7.399522e+04
5.093879e+05	1.245519e+05	2.647691e-02	-1.321083e-03	9.008168e+04
1.333862e+06	7.694758e+05	-1.058148e-02	8.475581e-03	8.105895e+04
5.855640e+03	-3.733685e+04	2.432069e-01	-2.219046e-04	1.111510e+05
8.134058e+05	-7.465144e+05	1.070568e-02	7.007673e-03	1.377776e+05
-3.650475e+05	-2.541710e+04	6.897931e-02	5.846273e-04	1.239094e+05
-8.238907e+04	-6.285077e+05	5.178508e-03	2.997914e-03	1.204143e+05
1.793878e+05	-1.451537e+05	8.679855e-02	1.868399e-02	1.195434e+05
8.700618e+05	6.867930e+04	2.402004e-02	-7.078474e-03	9.274754e+04
2.201180e+04	3.728602e+04	2.303093e-01	3.153035e-03	1.174717e+05
1.859215e+05	-5.749637e+04	9.126271e-02	1.276925e-02	1.163175e+05
4.578258e+03	-1.556033e+05	1.292087e-01	1.767077e-02	1.156820e+05
-1.434946e+05	-1.833841e+05	1.035341e-01	3.835584e-03	1.183190e+05
5.052555e+05	-2.388932e+05	-7.120329e-03	3.288501e-04	1.033327e+05
1.078868e+05	-7.697243e+04	1.434929e-01	8.522545e-04	1.088828e+05
8.292393e+04	-9.530190e+04	1.495951e-01	1.578583e-02	1.111236e+05
2.998039e+05	-3.387790e+05	3.063908e-02	3.129438e-03	1.102940e+05
4.153745e+05	-9.327368e+04	5.005102e-02	6.528013e-03	1.074812e+05
9.548905e+04	-1.163533e+05	1.238446e-01	6.233693e-03	1.117155e+05
-5.199356e+05	4.363969e+05	1.769086e-02	-1.668297e-03	1.253184e+05
-2.677283e+05	2.041920e+05	6.634080e-02	-1.638737e-02	1.250550e+05
1.631565e+05	1.687148e+05	1.038613e-01	-4.543278e-03	1.239796e+05
7.854903e+04	6.232851e+04	1.909786e-01	-7.401902e-03	1.037540e+05
-3.147942e+04	-2.324226e+05	8.578363e-02	1.867295e-02	1.180798e+05
1.448156e+05	-6.947631e+04	1.274981e-01	1.414388e-02	1.046121e+05
-3.572595e+05	-2.717988e+05	6.396919e-02	-2.163560e-03	1.201441e+05
2.474938e+05	-1.379573e+05	7.870048e-02	5.458936e-04	1.224945e+05
7.528042e+04	-7.600450e+04	1.631692e-01	1.117312e-02	1.177733e+05
-8.033299e+05	2.346457e+05	8.574442e-03	-1.317824e-03	1.027318e+05
9.279332e+05	-5.518778e+05	1.550753e-02	-5.711271e-03	1.162743e+05
5.511451e+03	6.153672e+05	-3.019744e-03	-1.619132e-04	1.037715e+05
-5.974250e+04	1.067225e+05	1.456394e-01	-8.634312e-03	9.692693e+04
1.222608e+06	-2.574391e+05	2.283381e-03	8.462156e-03	1.383487e+05
1.586657e+05	-3.471570e+03	1.364863e-01	6.435579e-03	1.101147e+05
9.646160e+04	-9.602642e+04	1.393586e-01	2.491593e-03	1.217684e+05
2.738199e+05	1.582565e+04	8.416010e-02	-2.989002e-04	1.235085e+05
1.068237e+05	-2.517439e+05	8.102258e-02	1.317707e-02	1.116979e+05
2.236062e+05	-9.218580e+04	7.945777e-02	-2.313994e-03	1.124633e+05
6.027471e+05	-1.042442e+06	7.046695e-03	2.151695e-04	1.080034e+05
-9.212070e+04	-1.055735e+05	1.625983e-01	-3.260021e-03	1.058019e+05
-7.710311e+04	2.826096e+04	1.932417e-01	-9.849593e-03	9.449486e+04
-6.693536e+04	-3.731315e+05	6.977829e-02	5.965043e-03	1.143518e+05
7.575317e+05	2.717892e+05	1.015497e-02	1.982406e-03	1.019235e+05
8.075497e+05	-7.091764e+05	1.773180e-02	2.889019e-03	1.382114e+05
-3.709037e+05	1.191926e+04	6.170624e-02	-5.789811e-03	1.242001e+05
-8.824623e+04	-5.911710e+05	8.041659e-04	5.419933e-04	1.220376e+05
1.735321e+05	-1.078166e+05	9.835072e-02	-4.235667e-03	1.203016e+05
8.642079e+05	1.060173e+05	1.964910e-02	-1.525477e-03	9.299327e+04
1.615620e+04	7.462290e+04	1.931948e-01	-6.457784e-03	1.180427e+05
1.800661e+05	-2.015927e+04	1.135372e-01	-9.225363e-04	1.160956e+05
-1.277628e+03	-1.182664e+05	1.517014e-01	2.108362e-03	1.152519e+05
-1.493507e+05	-1.460474e+05	1.175025e-01	7.975336e-03	1.187674e+05
4.994000e+05	-2.015556e+05	7.326745e-03	-7.046652e-03	1.048640e+05
1.020310e+05	-3.963543e+04	1.679863e-01	9.177767e-03	1.083506e+05
7.706828e+04	-5.796495e+04	1.695297e-01	5.741776e-03	1.132456e+05
2.939481e+05	-3.014418e+05	2.783379e-02	5.474629e-03	1.098817e+05
4.095193e+05	-5.593627e+04	5.510556e-02	8.147063e-03	1.066945e+05
8.963332e+04	-7.901634e+04	1.597498e-01	1.129234e-02	1.117505e+05
-5.257914e+05	4.737331e+05	1.771171e-02	-7.299295e-03	1.234275e+05
-2.735838e+05	2.415285e+05	4.862472e-02	-6.803598e-03	1.262977e+05
1.573015e+05	2.060519e+05	8.139532e-02	-1.209071e-02	1.250186e+05
7.269351e+04	9.966548e+04	1.711074e-01	-4.335505e-03	1.053463e+05
-3.733564e+04	-1.950858e+05	1.049144e-01	3.714131e-03	1.175104e+05
1.389599e+05	-3.213925e+04	1.509571e-01	6.499171e-03	1.048781e+05
